nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,velocity-magnitude
     19580, 1.678115845E+03, 6.068518677E+02, 2.532640991E+02, 3.738180399E+00
     19581, 1.646462402E+03, 6.154879150E+02, 2.532640991E+02, 3.749472618E+00
     19582, 1.597822388E+03, 6.287584229E+02, 2.532640991E+02, 3.765612125E+00
     19583, 1.549182373E+03, 6.420288696E+02, 2.532640991E+02, 3.781214714E+00
     19584, 1.500542358E+03, 6.552994385E+02, 2.532640991E+02, 3.796534061E+00
     19585, 1.499836914E+03, 6.554918823E+02, 2.532640991E+02, 3.796745539E+00
     19586, 1.451902344E+03, 6.685698853E+02, 2.532640991E+02, 3.812477589E+00
     19587, 1.403262329E+03, 6.818403931E+02, 2.532640991E+02, 3.830372095E+00
     19588, 1.354622314E+03, 6.951109009E+02, 2.532640991E+02, 3.850351572E+00
     19589, 1.321557983E+03, 7.041318970E+02, 2.532640991E+02, 3.864602089E+00
     19590, 1.305982300E+03, 7.083814087E+02, 2.532640991E+02, 3.871757030E+00
     19591, 1.257342285E+03, 7.216519165E+02, 2.532640991E+02, 3.891627789E+00
